id,sensor_id,household_id,event_type,severity,severity_score,confidence,is_night,is_meaningful,pattern_label,avg_sound_level,max_sound_level,avg_vibration,duration_ms,sample_count,started_at,ended_at,status
1,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,55.0,55.0,700.0,3000,1,2026-05-11 12:00:00.000000,,new
2,SENSOR-A101-01,1,daily_noise,low,2.0,0.74,0,1,no_pattern,57.37305,57.37305,7.0,2000,1,2026-05-11 12:27:04.047238,,new
3,SENSOR-A101-01,1,daily_noise,medium,4.0,0.74,0,1,no_pattern,72.50977,72.50977,8.0,2000,1,2026-05-11 12:27:10.898634,,new
4,SENSOR-A101-01,1,daily_noise,low,1.0,0.74,0,1,no_pattern,47.11914,47.11914,9.0,2000,1,2026-05-11 12:27:14.156371,,new
5,SENSOR-A101-01,1,daily_noise,low,2.0,0.74,0,1,no_pattern,50.29297,50.29297,8.0,2000,1,2026-05-11 12:27:16.829382,,new
6,SENSOR-A101-01,1,daily_noise,medium,4.0,0.74,0,1,no_pattern,64.69727,64.69727,8.0,2000,1,2026-05-11 12:27:19.477095,,new
7,SENSOR-A101-01,1,repeated_vibration,high,6.0,0.82,0,1,no_pattern,43.70117,43.70117,1007.0,2000,1,2026-05-11 12:27:22.149364,,new
8,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,49.56055,49.56055,8.0,2000,1,2026-05-11 12:27:42.213323,,new
9,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,54.93164,54.93164,8.0,2000,1,2026-05-11 12:27:54.019330,,new
10,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,77.63672,77.63672,8.0,2000,1,2026-05-11 12:27:59.874157,,new
11,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,49.80469,49.80469,10.0,2000,1,2026-05-11 12:28:02.483012,,new
12,SENSOR-A101-01,1,repeated_vibration,critical,9.0,0.82,0,1,no_pattern,62.5,62.5,1007.0,2000,1,2026-05-11 12:28:05.345008,,new
13,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,88.37891,88.37891,8.0,2000,1,2026-05-11 12:28:08.029099,,new
14,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,66.16211,66.16211,8.0,2000,1,2026-05-11 12:28:10.767270,,new
15,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,67.13867,67.13867,8.0,2000,1,2026-05-11 12:28:25.130299,,new
16,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,65.91797,65.91797,9.0,2000,1,2026-05-11 12:28:33.113742,,new
17,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,68.60352,68.60352,7.0,2000,1,2026-05-11 12:28:35.969694,,new
18,SENSOR-A101-01,1,repeated_vibration,high,8.0,0.82,0,1,no_pattern,58.83789,58.83789,1005.0,2000,1,2026-05-11 12:28:44.579073,,new
19,SENSOR-A101-01,1,repeated_vibration,critical,9.0,0.82,0,1,no_pattern,62.01172,62.01172,1006.0,2000,1,2026-05-11 12:28:54.487490,,new
20,SENSOR-A101-01,1,repeated_vibration,high,7.0,0.82,0,1,no_pattern,55.9082,55.9082,1006.0,2000,1,2026-05-11 12:28:57.261612,,new
21,SENSOR-A101-01,1,repeated_vibration,high,7.0,0.82,0,1,no_pattern,52.97852,52.97852,1005.0,2000,1,2026-05-11 12:28:59.927315,,new
22,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,45.41016,45.41016,7.0,2000,1,2026-05-11 12:29:02.585915,,new
23,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,53.22266,53.22266,8.0,2000,1,2026-05-11 12:29:08.119681,,new
24,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,60.79102,60.79102,8.0,2000,1,2026-05-11 12:29:10.781779,,new
25,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,59.81445,59.81445,8.0,2000,1,2026-05-11 12:29:13.647070,,new
26,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,48.82813,48.82813,8.0,2000,1,2026-05-11 12:29:16.515048,,new
27,SENSOR-A101-01,1,daily_noise,medium,4.0,0.74,0,1,no_pattern,57.86133,57.86133,8.0,2000,1,2026-05-11 12:29:19.242034,,new
28,SENSOR-A101-01,1,repeated_vibration,high,8.0,0.82,0,1,no_pattern,58.10547,58.10547,1006.0,2000,1,2026-05-11 12:29:24.321687,,new
29,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,69.82422,69.82422,7.0,2000,1,2026-05-11 12:29:32.282555,,new
30,SENSOR-A101-01,1,daily_noise,medium,4.0,0.74,0,1,no_pattern,58.10547,58.10547,8.0,2000,1,2026-05-11 12:29:35.160022,,new
31,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,71.28906,71.28906,8.0,2000,1,2026-05-11 12:29:38.018436,,new
32,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,98.87695,98.87695,8.0,2000,1,2026-05-11 12:29:41.088947,,new
33,SENSOR-A101-01,1,repeated_vibration,critical,10.0,0.82,0,1,no_pattern,70.06836,70.06836,1006.0,2000,1,2026-05-11 12:29:43.599823,,new
34,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,82.27539,82.27539,8.0,2000,1,2026-05-11 12:29:46.208378,,new
35,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,56.39648,56.39648,8.0,2000,1,2026-05-11 12:29:48.873842,,new
36,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,62.74414,62.74414,7.0,2000,1,2026-05-11 12:29:51.864450,,new
37,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,112.793,112.793,7.0,2000,1,2026-05-11 12:29:57.065826,,new
38,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,56.64063,56.64063,11.0,2000,1,2026-05-11 12:30:00.135323,,new
39,SENSOR-A101-01,1,repeated_vibration,critical,9.0,0.82,0,1,no_pattern,63.96484,63.96484,1007.0,2000,1,2026-05-11 12:30:03.206453,,new
40,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,59.81445,59.81445,8.0,2000,1,2026-05-11 12:30:06.078361,,new
41,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,56.15234,56.15234,7.0,2000,1,2026-05-11 12:30:08.765249,,new
42,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,60.30273,60.30273,7.0,2000,1,2026-05-11 12:30:11.399509,,new
43,SENSOR-A101-01,1,repeated_vibration,high,7.0,0.82,0,1,no_pattern,53.4668,53.4668,1005.0,2000,1,2026-05-11 12:30:14.106985,,new
44,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,63.96484,63.96484,8.0,2000,1,2026-05-11 12:30:17.079807,,new
45,SENSOR-A101-01,1,repeated_vibration,high,7.0,0.82,0,1,no_pattern,46.63086,46.63086,1006.0,2000,1,2026-05-11 12:30:19.698332,,new
46,SENSOR-A101-01,1,daily_noise,medium,3.0,0.74,0,1,no_pattern,56.39648,56.39648,8.0,2000,1,2026-05-11 12:30:25.623685,,new
47,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,71.77734,71.77734,8.0,2000,1,2026-05-11 12:30:29.261774,,new
48,SENSOR-A101-01,1,repeated_vibration,high,7.0,0.82,0,1,no_pattern,56.39648,56.39648,1006.0,2000,1,2026-05-11 12:30:32.368385,,new
49,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,73.97461,73.97461,8.0,2000,1,2026-05-11 12:30:39.095347,,new
50,SENSOR-A101-01,1,repeated_vibration,high,6.0,0.82,0,1,no_pattern,40.03906,40.03906,1006.0,2000,1,2026-05-11 12:30:43.311393,,new
51,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,66.65039,66.65039,8.0,2000,1,2026-05-11 12:30:46.459577,,new
52,SENSOR-A101-01,1,daily_noise,high,6.0,0.74,0,1,no_pattern,72.50977,72.50977,8.0,2000,1,2026-05-11 12:30:49.498568,,new
53,SENSOR-A101-01,1,daily_noise,medium,5.0,0.74,0,1,no_pattern,64.94141,64.94141,8.0,2000,1,2026-05-11 12:30:52.154393,,new
